user_id,user_name,city,effective_from,effective_to,is_current
U1,User_0,Mumbai,2026-01-01,,True
U2,User_1,Delhi,2026-01-01,,True
U3,User_2,Jaipur,2026-01-01,,True
U4,User_3,Mumbai,2026-01-01,,True
U5,User_4,Delhi,2026-01-01,,True
U6,User_5,Mumbai,2026-01-01,,True
U7,User_6,Jaipur,2026-01-01,,True
U8,User_7,Bangalore,2026-01-01,,True
U9,User_8,Jaipur,2026-01-01,2026-04-15,False
U9,User_8,Bangalore,2026-04-16,,True
U10,User_9,Mumbai,2026-01-01,,True
U11,User_10,Mumbai,2026-01-01,,True
U12,User_11,Delhi,2026-01-01,,True
U13,User_12,Mumbai,2026-01-01,,True
U14,User_13,Bangalore,2026-01-01,,True
U15,User_14,Delhi,2026-01-01,,True
U16,User_15,Delhi,2026-01-01,2026-04-15,False
U16,User_15,Jaipur,2026-04-16,,True
U17,User_16,Jaipur,2026-01-01,,True
U18,User_17,Mumbai,2026-01-01,,True
U19,User_18,Jaipur,2026-01-01,,True
U20,User_19,Jaipur,2026-01-01,,True
U21,User_20,Delhi,2026-01-01,2026-04-15,False
U21,User_20,Bangalore,2026-04-16,,True
U22,User_21,Bangalore,2026-01-01,,True
U23,User_22,Bangalore,2026-01-01,,True
U24,User_23,Bangalore,2026-01-01,,True
U25,User_24,Mumbai,2026-01-01,,True
U26,User_25,Jaipur,2026-01-01,2026-04-15,False
U26,User_25,Mumbai,2026-04-16,,True
U27,User_26,Mumbai,2026-01-01,,True
U28,User_27,Delhi,2026-01-01,,True
U29,User_28,Jaipur,2026-01-01,,True
U30,User_29,Jaipur,2026-01-01,2026-04-15,False
U30,User_29,Bangalore,2026-04-16,,True
U31,User_30,Mumbai,2026-01-01,,True
U32,User_31,Bangalore,2026-01-01,2026-04-15,False
U32,User_31,Jaipur,2026-04-16,,True
U33,User_32,Bangalore,2026-01-01,2026-04-15,False
U33,User_32,Jaipur,2026-04-16,,True
U34,User_33,Mumbai,2026-01-01,,True
U35,User_34,Jaipur,2026-01-01,2026-04-15,False
U35,User_34,Bangalore,2026-04-16,,True
U36,User_35,Jaipur,2026-01-01,,True
U37,User_36,Jaipur,2026-01-01,,True
U38,User_37,Mumbai,2026-01-01,,True
U39,User_38,Bangalore,2026-01-01,,True
U40,User_39,Mumbai,2026-01-01,,True
U41,User_40,Bangalore,2026-01-01,,True
U42,User_41,Mumbai,2026-01-01,,True
U43,User_42,Jaipur,2026-01-01,,True
U44,User_43,Delhi,2026-01-01,,True
