restaurant_name,cuisine,rating,order_count,score
Restaurant_111,Chinese,4.8,1,480.0
Restaurant_112,Indian,4.7,1,470.0
Restaurant_151,Chinese,4.7,1,470.0
Restaurant_157,Italian,4.7,1,470.0
Restaurant_158,Fast Food,4.7,1,470.0
Restaurant_159,Italian,4.7,1,470.0
Restaurant_5,Indian,4.7,1,470.0
Restaurant_188,Italian,4.6,1,460.0
Restaurant_49,Chinese,4.6,1,460.0
Restaurant_27,Chinese,4.5,2,900.0
Restaurant_111,Chinese,4.5,1,450.0
Restaurant_112,Indian,4.5,1,450.0
Restaurant_116,Italian,4.5,1,450.0
Restaurant_131,Fast Food,4.5,1,450.0
Restaurant_142,Italian,4.5,1,450.0
Restaurant_154,Fast Food,4.5,1,450.0
Restaurant_182,Chinese,4.5,1,450.0
Restaurant_183,Fast Food,4.5,1,450.0
Restaurant_198,Indian,4.5,1,450.0
Restaurant_52,Fast Food,4.5,1,450.0
Restaurant_85,Chinese,4.5,1,450.0
Restaurant_90,Indian,4.5,1,450.0
Restaurant_100,Chinese,4.4,1,440.0
Restaurant_127,Indian,4.4,1,440.0
Restaurant_133,Fast Food,4.4,1,440.0
Restaurant_137,Chinese,4.4,1,440.0
Restaurant_140,Italian,4.4,1,440.0
Restaurant_15,Fast Food,4.4,1,440.0
Restaurant_187,Indian,4.4,1,440.0
Restaurant_195,Fast Food,4.4,1,440.0
Restaurant_24,Indian,4.4,1,440.0
Restaurant_34,Chinese,4.4,1,440.0
Restaurant_48,Fast Food,4.4,1,440.0
Restaurant_63,Fast Food,4.4,1,440.0
Restaurant_65,Fast Food,4.4,1,440.0
Restaurant_70,Italian,4.4,1,440.0
Restaurant_76,Fast Food,4.4,1,440.0
Restaurant_1,Chinese,4.3,1,430.0
Restaurant_101,Indian,4.3,1,430.0
Restaurant_104,Indian,4.3,1,430.0
Restaurant_105,Chinese,4.3,1,430.0
Restaurant_113,Indian,4.3,1,430.0
Restaurant_124,Italian,4.3,1,430.0
Restaurant_129,Chinese,4.3,1,430.0
Restaurant_146,Fast Food,4.3,1,430.0
Restaurant_151,Chinese,4.3,1,430.0
Restaurant_154,Fast Food,4.3,1,430.0
Restaurant_157,Italian,4.3,1,430.0
Restaurant_159,Italian,4.3,1,430.0
Restaurant_163,Fast Food,4.3,1,430.0
Restaurant_164,Italian,4.3,1,430.0
Restaurant_175,Chinese,4.3,1,430.0
Restaurant_187,Indian,4.3,1,430.0
Restaurant_194,Fast Food,4.3,1,430.0
Restaurant_20,Indian,4.3,1,430.0
Restaurant_21,Italian,4.3,1,430.0
Restaurant_42,Italian,4.3,1,430.0
Restaurant_45,Italian,4.3,1,430.0
Restaurant_54,Indian,4.3,1,430.0
Restaurant_77,Italian,4.3,1,430.0
Restaurant_83,Fast Food,4.3,1,430.0
Restaurant_177,Chinese,4.2,2,840.0
Restaurant_2,Indian,4.2,2,840.0
Restaurant_113,Indian,4.2,1,420.0
Restaurant_118,Fast Food,4.2,1,420.0
Restaurant_121,Chinese,4.2,1,420.0
Restaurant_123,Indian,4.2,1,420.0
Restaurant_13,Chinese,4.2,1,420.0
Restaurant_130,Indian,4.2,1,420.0
Restaurant_133,Fast Food,4.2,1,420.0
Restaurant_134,Fast Food,4.2,1,420.0
Restaurant_149,Italian,4.2,1,420.0
Restaurant_158,Fast Food,4.2,1,420.0
Restaurant_17,Italian,4.2,1,420.0
Restaurant_176,Chinese,4.2,1,420.0
Restaurant_180,Fast Food,4.2,1,420.0
Restaurant_183,Fast Food,4.2,1,420.0
Restaurant_190,Italian,4.2,1,420.0
Restaurant_29,Indian,4.2,1,420.0
Restaurant_31,Chinese,4.2,1,420.0
Restaurant_39,Chinese,4.2,1,420.0
Restaurant_40,Italian,4.2,1,420.0
Restaurant_42,Italian,4.2,1,420.0
Restaurant_46,Indian,4.2,1,420.0
Restaurant_49,Chinese,4.2,1,420.0
Restaurant_5,Indian,4.2,1,420.0
Restaurant_54,Indian,4.2,1,420.0
Restaurant_56,Chinese,4.2,1,420.0
Restaurant_59,Italian,4.2,1,420.0
Restaurant_6,Italian,4.2,1,420.0
Restaurant_7,Italian,4.2,1,420.0
Restaurant_79,Italian,4.2,1,420.0
Restaurant_82,Italian,4.2,1,420.0
Restaurant_9,Chinese,4.2,1,420.0
Restaurant_12,Italian,4.1,2,820.0
Restaurant_100,Chinese,4.1,1,410.0
Restaurant_103,Italian,4.1,1,410.0
Restaurant_124,Italian,4.1,1,410.0
Restaurant_126,Chinese,4.1,1,410.0
Restaurant_127,Indian,4.1,1,410.0
Restaurant_131,Fast Food,4.1,1,410.0
Restaurant_138,Chinese,4.1,1,410.0
Restaurant_14,Italian,4.1,1,410.0
Restaurant_142,Italian,4.1,1,410.0
Restaurant_144,Italian,4.1,1,410.0
Restaurant_170,Italian,4.1,1,410.0
Restaurant_173,Chinese,4.1,1,410.0
Restaurant_175,Chinese,4.1,1,410.0
Restaurant_176,Chinese,4.1,1,410.0
Restaurant_182,Chinese,4.1,1,410.0
Restaurant_188,Italian,4.1,1,410.0
Restaurant_19,Fast Food,4.1,1,410.0
Restaurant_195,Fast Food,4.1,1,410.0
Restaurant_36,Italian,4.1,1,410.0
Restaurant_37,Chinese,4.1,1,410.0
Restaurant_41,Indian,4.1,1,410.0
Restaurant_48,Fast Food,4.1,1,410.0
Restaurant_57,Italian,4.1,1,410.0
Restaurant_60,Indian,4.1,1,410.0
Restaurant_62,Fast Food,4.1,1,410.0
